Training on single GPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:01 |       23.90% |       1.9372 |          0.0010 |
|       1 |          50 |       00:00:41 |       84.15% |       0.2833 |          0.0010 |
|       1 |         100 |       00:01:23 |       83.96% |       0.3212 |          0.0010 |
|       1 |         150 |       00:02:06 |       87.91% |       0.2536 |          0.0010 |
|       1 |         200 |       00:02:50 |       84.89% |       0.2708 |          0.0010 |
|       2 |         250 |       00:03:37 |       83.23% |       0.3335 |          0.0010 |
|       2 |         300 |       00:04:25 |       83.66% |       0.2364 |          0.0010 |
|       2 |         350 |       00:05:14 |       86.78% |       0.4149 |          0.0010 |
|       2 |         400 |       00:06:03 |       90.02% |       0.2387 |          0.0010 |
|       2 |         450 |       00:06:51 |       80.32% |       0.2799 |          0.0010 |
|       3 |         500 |       00:07:39 |       87.58% |       0.2092 |          0.0010 |
|       3 |         550 |       00:08:28 |       88.32% |       0.2778 |          0.0010 |
|       3 |         600 |       00:09:16 |       89.06% |       0.2349 |          0.0010 |
|       3 |         650 |       00:10:04 |       85.63% |       0.2688 |          0.0010 |
|       4 |         700 |       00:10:53 |       83.73% |       0.3204 |          0.0010 |
|       4 |         750 |       00:11:39 |       84.28% |       0.2257 |          0.0010 |
|       4 |         800 |       00:12:28 |       86.76% |       0.4045 |          0.0010 |
|       4 |         850 |       00:13:16 |       90.52% |       0.2375 |          0.0010 |
|       4 |         900 |       00:14:04 |       83.38% |       0.2498 |          0.0010 |
|       5 |         950 |       00:14:52 |       87.84% |       0.2013 |          0.0010 |
|       5 |        1000 |       00:15:40 |       88.08% |       0.2739 |          0.0010 |
|       5 |        1050 |       00:16:29 |       89.44% |       0.2296 |          0.0010 |
|       5 |        1100 |       00:17:17 |       85.77% |       0.2624 |          0.0010 |
|       6 |        1150 |       00:18:06 |       83.79% |       0.3104 |          0.0010 |
|       6 |        1200 |       00:18:54 |       84.06% |       0.2180 |          0.0010 |
|       6 |        1250 |       00:19:43 |       86.55% |       0.3864 |          0.0010 |
|       6 |        1300 |       00:20:31 |       90.68% |       0.2359 |          0.0010 |
|       6 |        1350 |       00:21:20 |       85.62% |       0.2426 |          0.0010 |
|       7 |        1400 |       00:22:08 |       87.80% |       0.1971 |          0.0010 |
|       7 |        1450 |       00:22:57 |       87.77% |       0.2729 |          0.0010 |
|       7 |        1500 |       00:23:45 |       89.71% |       0.2249 |          0.0010 |
|       7 |        1550 |       00:24:34 |       86.12% |       0.2610 |          0.0010 |
|       8 |        1600 |       00:25:23 |       83.76% |       0.3059 |          0.0010 |
|       8 |        1650 |       00:26:11 |       84.30% |       0.2145 |          0.0010 |
|       8 |        1700 |       00:26:59 |       86.83% |       0.3870 |          0.0010 |
|       8 |        1750 |       00:27:43 |       90.87% |       0.2326 |          0.0010 |
|       8 |        1800 |       00:28:25 |       85.93% |       0.2396 |          0.0010 |
|       9 |        1850 |       00:29:07 |       87.82% |       0.1941 |          0.0010 |
|       9 |        1900 |       00:29:49 |       88.02% |       0.2701 |          0.0010 |
|       9 |        1950 |       00:30:31 |       89.70% |       0.2225 |          0.0010 |
|       9 |        2000 |       00:31:13 |       86.22% |       0.2575 |          0.0010 |
|      10 |        2050 |       00:31:55 |       83.76% |       0.3028 |          0.0010 |
|      10 |        2100 |       00:32:37 |       84.44% |       0.2124 |          0.0010 |
|      10 |        2150 |       00:33:19 |       86.87% |       0.3856 |          0.0010 |
|      10 |        2200 |       00:34:01 |       90.99% |       0.2294 |          0.0010 |
|      10 |        2250 |       00:34:43 |       86.44% |       0.2358 |          0.0010 |
|========================================================================================|
